Date,P,Tmax,Tmin,Q,,,,,,,
22-05-2003,2.15276,12.38,3.656,16517.88377,,,,,,,
23-05-2003,1.63487,13.715,4.371,16566.8832,,,,,,,
24-05-2003,3.19053,14.597,6.073,16619.96965,,,,,,,
25-05-2003,7.96105,14.092,5.644,16677.38436,,,,,,,
26-05-2003,5.71197,13.262,5.88,16739.36856,,,,,,,
27-05-2003,5.35658,14.414,6.156,16582.39,,,,,,,
28-05-2003,2.02789,14.934,6.619,17126.58179,,,,,,,
29-05-2003,2.84263,15.079,6.806,17452.01393,,,,,,,
30-05-2003,0.857895,16.197,6.488,17782.42176,,,,,,,
31-05-2003,1.01342,17.314,6.456,18117.76715,,,,,,,
01-06-2003,1.61829,17.875,6.986,18458.01198,,,,,,,
02-06-2003,1.7875,18.009,7.097,18803.11813,,,,,,,
03-06-2003,2.84395,16.187,7.213,19202.21,,,,,,,
04-06-2003,5.59434,16.01,7.074,19453.15128,,,,,,,
05-06-2003,8.43434,13.737,7.228,19758.06341,,,,,,,
06-06-2003,7.90039,14.506,6.839,20067.80709,,,,,,,
07-06-2003,8.60618,13.979,7.197,20382.40559,,,,,,,
08-06-2003,6.11842,14.888,6.701,20701.88214,,,,,,,
09-06-2003,6.67368,15.235,6.436,21026.26,,,,,,,
10-06-2003,8.95447,16.143,7.282,21117.24,,,,,,,
11-06-2003,7.83118,15.583,8.382,21954.5453,,,,,,,
12-06-2003,7.52197,16.039,8.852,22558.20171,,,,,,,
13-06-2003,10.2132,15.989,8.186,23166.2574,,,,,,,
14-06-2003,7.0729,14.783,7.957,23778.43809,,,,,,,
15-06-2003,3.48974,15.531,8.071,24394.46951,,,,,,,
16-06-2003,2.46368,16.882,8.532,25014.07739,,,,,,,
17-06-2003,3.59803,17.168,9.183,25636.98747,,,,,,,
18-06-2003,5.83421,16.613,8.812,26262.92548,,,,,,,
19-06-2003,3.98105,16.82,9.41,26891.61716,,,,,,,
20-06-2003,6.12934,17.211,9.692,27522.78823,,,,,,,
21-06-2003,5.145,17.327,10.349,28156.16444,,,,,,,
22-06-2003,9.79382,16.978,10.468,28791.4715,,,,,,,
23-06-2003,7.74921,17.137,10.212,29428.43516,,,,,,,
24-06-2003,7.33053,17.317,10.584,29119.06,,,,,,,
25-06-2003,10.6663,17.084,10.432,31758.98031,,,,,,,
26-06-2003,13.9501,16.23,10.297,33450.83015,,,,,,,
27-06-2003,14.3157,15.587,9.993,35140.87331,,,,,,,
28-06-2003,12.5895,15.412,10.072,36827.65239,,,,,,,
29-06-2003,14.5236,15.56,10.244,38509.71003,,,,,,,
30-06-2003,13.9133,15.867,9.885,40185.58885,,,,,,,
01-07-2003,7.07684,16.365,10.148,41687.03,,,,,,,
02-07-2003,9.25355,17.07,10.366,43698.26649,,,,,,,
03-07-2003,12.4488,16.617,10.405,45531.94232,,,,,,,
04-07-2003,8.42053,15.726,9.753,47353.19337,,,,,,,
05-07-2003,5.30868,17.026,9.869,49160.35402,,,,,,,
06-07-2003,12.3501,16.294,10.261,50951.75867,,,,,,,
07-07-2003,17.3732,15.738,10.533,52999.29,,,,,,,
08-07-2003,17.9026,14.91,10.06,54176.77536,,,,,,,
09-07-2003,10.4696,13.739,9.476,55607.39768,,,,,,,
10-07-2003,6.56868,14.515,9.385,57016.28454,,,,,,,
11-07-2003,8.72342,15.451,10.006,58402.11184,,,,,,,
12-07-2003,9.82066,15.868,10.292,59763.55546,,,,,,,
13-07-2003,7.50237,16.74,10.506,61099.29128,,,,,,,
14-07-2003,6.56921,17.135,10.446,65683.93,,,,,,,
15-07-2003,6.26697,17.309,10.249,60049.37777,,,,,,,
16-07-2003,5.14697,17.369,10.212,57665.16979,,,,,,,
17-07-2003,7.44671,17.784,10.452,55258.13672,,,,,,,
18-07-2003,8.03026,17.899,10.743,52831.04403,,,,,,,
19-07-2003,11.105,15.617,9.574,50386.65719,,,,,,,
20-07-2003,6.60053,16.485,8.239,47927.74168,,,,,,,
21-07-2003,5.08671,17.785,8.537,44070.25,,,,,,,
22-07-2003,2.10079,17.742,8.809,44070.25,,,,,,,
23-07-2003,1.50776,18.921,8.622,44067.9763,,,,,,,
24-07-2003,2.93197,20.033,9.647,43610.58203,,,,,,,
25-07-2003,2.48645,19.495,10.892,43146.17504,,,,,,,
26-07-2003,7.25461,19.296,10.605,42675.23073,,,,,,,
27-07-2003,6.10724,18.097,10.752,42198.22449,,,,,,,
28-07-2003,9.11,17.899,11.307,41715.63172,,,,,,,
29-07-2003,13.8963,17.877,11.347,41227.92783,,,,,,,
30-07-2003,11.9488,15.959,10.867,40735.58821,,,,,,,
31-07-2003,7.74776,17.262,10.743,40239.08826,,,,,,,
01-08-2003,10.137,17.341,10.885,39738.90339,,,,,,,
02-08-2003,4.67526,16.695,10.538,39235.50898,,,,,,,
03-08-2003,1.33158,18.205,10.401,38729.38045,,,,,,,
04-08-2003,1.95461,19.158,10.587,38753.16,,,,,,,
05-08-2003,2.43539,19.939,10.918,37119.68245,,,,,,,
06-08-2003,2.26934,19.963,11.354,36017.72813,,,,,,,
07-08-2003,4.33882,19.939,11.54,34916.26996,,,,,,,
08-08-2003,5.13934,19.041,11.349,33816.44769,,,,,,,
09-08-2003,5.54092,19.115,11.625,32719.40105,,,,,,,
10-08-2003,6.35776,18.305,11.716,31626.26979,,,,,,,
11-08-2003,4.05382,18.943,11.634,29701.76,,,,,,,
12-08-2003,3.78553,19.107,11.226,29701.76,,,,,,,
13-08-2003,5.38421,19.17,11.141,30998.41238,,,,,,,
14-08-2003,5.97711,18.438,11.079,31616.91983,,,,,,,
15-08-2003,7.3125,18.089,11.125,32240.20186,,,,,,,
16-08-2003,9.15684,17.21,10.941,32867.50054,,,,,,,
17-08-2003,12.9525,16.156,10.461,33498.05795,,,,,,,
18-08-2003,7.11368,15.168,9.913,34131.11618,,,,,,,
19-08-2003,7.54763,15.066,9.936,34765.91728,,,,,,,
20-08-2003,4.92461,15.825,9.942,35401.70335,,,,,,,
21-08-2003,2.49303,18.019,10.525,36037.71646,,,,,,,
22-08-2003,9.32776,18.239,10.602,36673.19868,,,,,,,
23-08-2003,4.08026,17.282,10.875,37307.39209,,,,,,,
24-08-2003,3.71605,17.904,10.849,37939.53877,,,,,,,
25-08-2003,3.77408,17.825,10.692,38931.09,,,,,,,
26-08-2003,4.48566,18.684,10.665,38931.09,,,,,,,
27-08-2003,5.24276,18.3,10.885,38857.71778,,,,,,,
28-08-2003,5.58026,17.941,10.699,38919.12275,,,,,,,
29-08-2003,5.40539,17.313,10.954,38976.39438,,,,,,,
30-08-2003,6.07263,17.4,11.157,39029.40017,,,,,,,
31-08-2003,6.14868,17.122,11.113,39078.00762,,,,,,,
01-09-2003,7.98855,17.127,10.557,39122.08421,,,,,,,
02-09-2003,9.52132,16.172,9.995,39161.49744,,,,,,,
03-09-2003,8.06329,15.933,9.32,39196.11482,,,,,,,
04-09-2003,6.08592,15.868,9.378,39225.80383,,,,,,,
05-09-2003,7.32513,16.439,9.515,39250.43197,,,,,,,
06-09-2003,5.18053,16.801,9.516,39269.86674,,,,,,,
07-09-2003,5.57368,16.01,8.982,39283.97563,,,,,,,
08-09-2003,4.41539,16.485,9.019,39761.34,,,,,,,
09-09-2003,5.05329,16.34,9.663,38775.03025,,,,,,,
10-09-2003,3.95605,17.02,9.428,38252.29611,,,,,,,
11-09-2003,4.29684,17.471,9.19,37724.87632,,,,,,,
12-09-2003,5.41618,16.109,9.578,37193.22353,,,,,,,
13-09-2003,5.44368,17.145,9.645,36657.79035,,,,,,,
14-09-2003,6.79553,16.828,9.688,36119.02941,,,,,,,
15-09-2003,3.44776,16.852,9.707,35074.02,,,,,,,
16-09-2003,5.44829,16.836,9.596,35074.02,,,,,,,
17-09-2003,7.56026,16.333,9.607,36180.91567,,,,,,,
18-09-2003,3.93645,16.301,9.399,36765.91946,,,,,,,
19-09-2003,6.01066,16.074,9.301,37346.67893,,,,,,,
20-09-2003,5.4875,14.982,7.76,37922.37107,,,,,,,
21-09-2003,2.86605,15.63,6.772,38492.17286,,,,,,,
22-09-2003,1.95066,16.711,6.993,39719.95,,,,,,,
23-09-2003,2.28132,16.489,7.381,39719.95,,,,,,,
24-09-2003,3.91684,14.74,7.289,37740.73967,,,,,,,
25-09-2003,2.89553,14.63,7.287,36602.54894,,,,,,,
26-09-2003,3.44368,15.114,6.874,35458.95806,,,,,,,
27-09-2003,3.72461,14.938,6.978,34311.03177,,,,,,,
28-09-2003,2.94632,15.233,7.088,33159.83482,,,,,,,
29-09-2003,4.33342,14.653,7.807,32006.43194,,,,,,,
30-09-2003,5.27803,15.104,7.406,29810.35,,,,,,,
01-10-2003,4.71658,15.213,6.726,30854.2257,,,,,,,
02-10-2003,3.25947,14.535,6.23,30856.25159,,,,,,,
03-10-2003,1.49368,14.049,5.227,30857.73006,,,,,,,
04-10-2003,3.66908,13.261,4.717,30858.4256,,,,,,,
05-10-2003,2.1375,11.634,3.621,30858.10275,,,,,,,
06-10-2003,0.409605,12.228,3.033,30673.5,,,,,,,
07-10-2003,1.88816,13.261,3.676,30673.5,,,,,,,
08-10-2003,9.84487,12.675,5.092,31680.79839,,,,,,,
09-10-2003,23.7528,11.484,6.187,32301.93267,,,,,,,
10-10-2003,10.5461,11.773,4.646,32919.22872,,,,,,,
11-10-2003,0.948158,13.322,3.684,33531.74412,,,,,,,
12-10-2003,0.166579,13.881,2.973,34138.53642,,,,,,,
13-10-2003,0.110263,14.378,2.841,35482.97,,,,,,,
14-10-2003,0.430658,15.074,3.938,35482.97,,,,,,,
15-10-2003,0.310132,14.379,3.739,33175.48139,,,,,,,
16-10-2003,0.0659211,14.756,3.717,31840.15688,,,,,,,
17-10-2003,0.835395,14.624,4.366,30499.62787,,,,,,,
18-10-2003,2.04342,13.868,4.565,29155.10273,,,,,,,
19-10-2003,0.741053,13.093,4.048,27807.78983,,,,,,,
20-10-2003,0.905395,13.162,3.599,25889,,,,,,,
21-10-2003,0.921974,12.484,2.51,25889,,,,,,,
22-10-2003,0.325658,12.326,1.753,24864.07309,,,,,,,
23-10-2003,0.296842,11.054,1.572,23986.26537,,,,,,,
24-10-2003,2.47934,10.193,2.688,23109.94268,,,,,,,
25-10-2003,6.96368,8.688,3.032,22235.78462,,,,,,,
26-10-2003,5.98697,9.459,3,20873.05,,,,,,,
27-10-2003,1.34211,9.821,1.585,20873.05,,,,,,,
28-10-2003,0.367237,10.509,-2.057,20912.53175,,,,,,,
29-10-2003,0.154474,10.792,-2.191,20785.9485,,,,,,,
30-10-2003,0.276053,10.188,-2.555,20662.6641,,,,,,,
31-10-2003,2.16434,9.746,-3.302,20542.53303,,,,,,,
01-11-2003,0.175789,9.401,-3.654,20425.40979,,,,,,,
02-11-2003,0.0518421,9.692,-3.197,20311.14885,,,,,,,
03-11-2003,0.0590789,9.531,-4.603,20209.29,,,,,,,
04-11-2003,0.0330263,9.845,-4.437,20209.29,,,,,,,
05-11-2003,0.297105,9.93,-2.367,19818.82138,,,,,,,
06-11-2003,0.830263,9.216,-0.438,19560.23548,,,,,,,
07-11-2003,0.4875,9.013,-0.55,19304.14372,,,,,,,
08-11-2003,0.205921,8.324,-1.129,19050.57426,,,,,,,
09-11-2003,0.0431579,8.798,-1.654,18799.55522,,,,,,,
10-11-2003,0.0417105,8.417,-2.393,18525.5,,,,,,,
11-11-2003,0.0378947,7.923,-3.029,18333.73427,,,,,,,
12-11-2003,0.0782895,7.184,-3.858,18118.95666,,,,,,,
13-11-2003,0.00684211,7.622,-5.768,17906.77809,,,,,,,
14-11-2003,0,8.704,-5.312,17697.19471,,,,,,,
15-11-2003,0.175132,8.458,-3.341,17490.20268,,,,,,,
16-11-2003,0.141579,7.267,-3.983,17285.79818,,,,,,,
17-11-2003,0.155526,6.464,-4.054,17083.97736,,,,,,,
18-11-2003,0.035,7.006,-4.529,16925.65,,,,,,,
19-11-2003,0.0689474,7.134,-5.694,16642.62386,,,,,,,
20-11-2003,0.144737,7.689,-5.661,16403.13459,,,,,,,
21-11-2003,0.0238158,7.723,-6.452,16166.3158,,,,,,,
22-11-2003,0.0211842,8.491,-4.584,15932.21473,,,,,,,
23-11-2003,0.000526316,8.534,-4.628,15620.49,,,,,,,
24-11-2003,0.0102632,10.069,-4.038,15620.49,,,,,,,
25-11-2003,0.0127632,8.53,-4.105,15359.82559,,,,,,,
26-11-2003,0.364605,7.388,-3.256,15160.77879,,,,,,,
27-11-2003,0.901842,6.343,-3.176,14964.53174,,,,,,,
28-11-2003,0.342368,5.694,-6.33,14771.10479,,,,,,,
29-11-2003,0.00736842,5.879,-6.549,14580.51826,,,,,,,
30-11-2003,0.0357895,6.453,-7.339,14392.79249,,,,,,,
01-12-2003,0.0202632,6.822,-6.456,14108.25,,,,,,,
02-12-2003,0.126053,6.877,-4.507,14108.25,,,,,,,
03-12-2003,0.195921,5.627,-5.23,14100.00978,,,,,,,
04-12-2003,0.401447,4.404,-5.959,14065.92652,,,,,,,
05-12-2003,0.108421,4.251,-7.17,14034.36116,,,,,,,
06-12-2003,0.119737,4.567,-6.807,14005.174,,,,,,,
07-12-2003,0.08,4.766,-8.581,13978.22533,,,,,,,
08-12-2003,0.100263,5.829,-7.744,13964.83,,,,,,,
09-12-2003,0.155526,2.612,-6.419,13964.83,,,,,,,
10-12-2003,0.0814474,3.409,-8.685,13831.69431,,,,,,,
11-12-2003,0.00447368,4.229,-9.732,13747.39493,,,,,,,
12-12-2003,0.0219737,5.252,-9.821,13664.79594,,,,,,,
13-12-2003,0.0143421,5.892,-9.262,13583.83069,,,,,,,
14-12-2003,0.00368421,7.134,-7.891,13504.43255,,,,,,,
15-12-2003,0.00973684,7.324,-6.767,13426.53486,,,,,,,
16-12-2003,0.0744737,5.643,-4.315,13350.07099,,,,,,,
17-12-2003,0.22,5.002,-6.839,13274.97428,,,,,,,
18-12-2003,0.179474,4.829,-7.368,13201.17809,,,,,,,
19-12-2003,0.526184,3.134,-7.886,13128.61579,,,,,,,
20-12-2003,0.249474,3.224,-8.323,13057.22071,,,,,,,
21-12-2003,0.0628947,3.718,-9.882,12986.92623,,,,,,,
22-12-2003,0.0368421,3.607,-10.007,12894.12,,,,,,,
23-12-2003,0.0389474,3.318,-9.541,12894.12,,,,,,,
24-12-2003,0.0782895,2.045,-8.971,12813.60742,,,,,,,
25-12-2003,0.0202632,2.692,-10.78,12752.48587,,,,,,,
26-12-2003,0.288421,3.059,-10.659,12692.08993,,,,,,,
27-12-2003,1.58118,2.984,-8.345,12632.34676,,,,,,,
28-12-2003,4.04474,-1.773,-9.716,12573.18355,,,,,,,
29-12-2003,0.270789,-1.296,-13.858,12566.21,,,,,,,
30-12-2003,0.0626316,1.493,-12.611,12398.89579,,,,,,,
31-12-2003,0.0531579,1.897,-11.712,12283.6901,,,,,,,
01-01-2004,0.0456579,1.388,-10.956,12220.77,,,,,,,
02-01-2004,0.00960526,1.839,-10.27,11996.90771,,,,,,,
03-01-2004,0.0184211,0.185,-10.501,11825.37912,,,,,,,
04-01-2004,0.00592105,0.819,-11.634,11654.37279,,,,,,,
05-01-2004,0.0232895,2.177,-11.851,11483.94515,,,,,,,
06-01-2004,0.0527632,1.947,-10.708,11314.15265,,,,,,,
07-01-2004,0.0298684,1.244,-11.003,11232.01,,,,,,,
08-01-2004,0.115132,0.429,-11.019,10880.10406,,,,,,,
09-01-2004,0.0390789,1.128,-11.721,10616.06942,,,,,,,
10-01-2004,0.02,2.731,-11.507,10353.11279,,,,,,,
11-01-2004,0.01,3.254,-10.308,10091.39917,,,,,,,
12-01-2004,0.173421,2.271,-11.389,9831.093567,,,,,,,
13-01-2004,0.632237,1.435,-10.583,9572.360974,,,,,,,
14-01-2004,1.12763,-0.723,-11.444,9315.36639,,,,,,,
15-01-2004,0.0814474,1.864,-11.965,9006.02,,,,,,,
16-01-2004,0.0152632,3.197,-10.374,8867.518424,,,,,,,
17-01-2004,0.234868,3.29,-9.593,8676.92731,,,,,,,
18-01-2004,1.55592,2.18,-10.057,8488.598736,,,,,,,
19-01-2004,1.92868,0.79,-10.809,8302.62997,,,,,,,
20-01-2004,0.177895,1.812,-10.316,8119.118281,,,,,,,
21-01-2004,0.306184,3.13,-9.141,7878.84,,,,,,,
22-01-2004,0.616842,3.159,-8.451,7825.749926,,,,,,,
23-01-2004,2.26987,2.927,-8.01,7716.013742,,,,,,,
24-01-2004,4.41421,0.493,-9.347,7608.975596,,,,,,,
25-01-2004,0.479605,-1.397,-12.426,7504.658702,,,,,,,
26-01-2004,0.366842,-1.215,-13.56,7403.086272,,,,,,,
27-01-2004,0.176184,-1.8,-14.33,7304.28152,,,,,,,
28-01-2004,0.182763,-1.561,-15.314,7208.26766,,,,,,,
29-01-2004,0.1575,0.669,-13.757,7115.067904,,,,,,,
30-01-2004,0.178553,0.371,-11.847,7024.705465,,,,,,,
31-01-2004,0.0840789,1.056,-10.794,6908.82,,,,,,,
01-02-2004,0.07,1.549,-9.667,6884.114343,,,,,,,
02-02-2004,0.381842,1.546,-10.413,6833.896653,,,,,,,
03-02-2004,0.0330263,-0.321,-11.91,6786.538266,,,,,,,
04-02-2004,0.0434211,-0.018,-13.258,6783.45,,,,,,,
05-02-2004,0.136579,-0.407,-12.266,6654.337097,,,,,,,
06-02-2004,0.518553,-0.526,-11.466,6564.27,,,,,,,
07-02-2004,0.0943421,-0.071,-13.35,6493.453474,,,,,,,
08-02-2004,0.0438158,2.5,-12.705,6411.6,,,,,,,
09-02-2004,0.0247368,4.934,-10.651,6359.89035,,,,,,,
10-02-2004,0.0432895,4.861,-10.343,6302.450307,,,,,,,
11-02-2004,0.0751316,4.478,-10.527,6248.034051,,,,,,,
12-02-2004,0.00815789,3.973,-11.164,6201.84,,,,,,,
13-02-2004,0.0278947,3.851,-12.062,6142.611019,,,,,,,
14-02-2004,0.0898684,3.819,-10.273,6086.05,,,,,,,
15-02-2004,0.124474,2.26,-8.919,6050.049256,,,,,,,
16-02-2004,0.0326316,3.293,-10.066,6051.95,,,,,,,
17-02-2004,0.00368421,5.664,-9.691,5931.466273,,,,,,,
18-02-2004,0.364605,4.68,-7.338,5780.28,,,,,,,
19-02-2004,1.84526,3.04,-7.115,5863.545887,,,,,,,
20-02-2004,0.415395,1.552,-9.11,5909.97,,,,,,,
21-02-2004,0.191974,4.878,-8.949,5853.368366,,,,,,,
